L;N;K;QBER;TAU_MISSES;REPETITIONS;EVE_SUCCESS;EVE_REPETITIONS
3;5;5;8;14;34;1;126
3;5;5;8;10;28;2;56
3;5;5;8;16;33;1;65
3;5;5;8;1;20;2;302
3;5;5;8;9;33;1;102
3;5;5;8;2;15;1;105
3;5;10;8;15;30;1;170
3;5;10;8;19;54;1;2749
3;5;10;8;11;33;1;1213
3;5;10;8;12;30;1;2529
3;5;10;8;10;32;1;1034
3;5;10;8;26;56;2;6392
3;5;15;8;16;22;1;47165
3;5;15;8;21;38;1;47374
3;5;15;8;25;39;1;58812
3;5;15;8;12;30;1;45815
3;5;15;8;20;32;1;14952
3;5;15;8;21;34;1;29651
3;5;20;8;25;45;1;355754
3;5;20;8;21;37;1;380295
3;5;20;8;17;31;1;272582
3;5;20;8;15;32;1;478542
3;5;20;8;32;88;1;615006
3;5;20;8;34;44;1;849975
3;10;5;8;17;36;1;171
3;10;5;8;17;74;1;3618
3;10;5;8;17;41;1;1733
3;10;5;8;16;31;2;7133
3;10;5;8;14;34;1;3321
3;10;5;8;4;44;1;7222
